Time ,Status,Data,Parametes
['2023-11-09 13:07:25'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:25'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:25'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:25'],Going towards goal : ,"Distance: 28, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:25'],Going towards goal : ,"Distance: 28, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:25'],Going towards goal : ,"Distance: 28, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:25'],Going towards goal : ,"Distance: 28, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:26'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:26'],Going towards goal : ,"Distance: 28, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:26'],Going towards goal : ,"Distance: 28, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:26'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:26'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:26'],Going towards goal : ,"Distance: 28, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:26'],Going towards goal : ,"Distance: 28, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:27'],Going towards goal : ,"Distance: 28, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
